epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation,Outcome Prediction (MCO) training loss (CE),Multi-Class Outcome - CE validation,Multi-Class Outcome - Accuracy,Multi-Class Outcome - Macro-F1 score,Multi-Class Outcome - Weighted-F1 score,Multi-Class Outcome - Macro-Precision,Multi-Class Outcome - Weighted-Precision,Multi-Class Outcome - Macro-Recall,Multi-Class Outcome - Weighted-Recall
0,2.7702414717899977,1.0428007264902606,0.3267187632333774,0.2749192996069087,1529.6090658895905,0.6623847001730209,0.5854904628937414,0.5035460269700097,8640.55016998543,0.7716048729975196,0.6403987638113162,0.7321921636058266,0.5435232242633098,0.6895577127152129,0.8141965986907854,0.7677079145740487,0.5724968850671894,0.7321921636058266
1,1.8341709611683907,0.3833231230172709,0.2580519462412102,0.2756699223492897,1538.155868544601,0.7127252164658208,0.5112043377563092,0.4838916395056763,8222.840602234095,0.6452260000201372,0.614021023365408,0.7366111520341401,0.5808351148418798,0.7044446515347245,0.7353647946639356,0.7453042382889042,0.5934166400960521,0.7366111520341401
2,1.7085536156709378,0.3082991795911944,0.24206426798107003,0.2706971430211116,1527.2630726890077,0.7234147578087057,0.4953773106123216,0.4743845616804274,8140.095450866117,0.6315804920076619,0.6074867341169864,0.738361213620739,0.5976156009689267,0.7111207747794148,0.7211792018295862,0.7397129401406345,0.6019897485940209,0.738361213620739
3,1.6446030750958878,0.2786926262124756,0.22355722176384996,0.23251476167416676,1314.7534401813177,0.7340668302649952,0.4898679690027731,0.4738297020132649,8106.85420106848,0.6262939623253938,0.6120183350913672,0.7407558712373209,0.6386001010273724,0.7257017086897326,0.6999351678800053,0.7451592436679494,0.6345453702428362,0.7407558712373209
4,1.593178674314149,0.26213979206362065,0.202605613083,0.2254203511071819,1252.9345637040635,0.7340199941567509,0.4853488776898948,0.47389598399936256,8105.331649668124,0.6218214813156946,0.6045074240567326,0.7403480304388813,0.6370660459027843,0.7251555174726411,0.6981690816078343,0.7429521948355307,0.6326908510225202,0.7403480304388813
5,1.5612943220949738,0.2508253406777361,0.19164849557643812,0.22719155636269123,1289.0162862230857,0.7356712337603205,0.48446780050823673,0.4759444708729207,8131.365258215962,0.6152494855048741,0.6059471304524344,0.7423658113626769,0.6348037563964818,0.7254825576177661,0.7056659424753292,0.7484135432876979,0.631916663786816,0.7423658113626769
6,1.5328029276880286,0.24263408857248944,0.18695746578783148,0.22243754316036304,1250.1993848146349,0.737780400072851,0.4807327850639115,0.4683585627788823,8045.170406346123,0.6044279132589433,0.5889976171685284,0.7470359052610894,0.6515052051857424,0.7347853121582557,0.6973336275593199,0.7469271365637752,0.6456945752041681,0.7470359052610894
7,1.516675851754183,0.23644351788394197,0.18387967776286707,0.2189117624320817,1217.9873725109276,0.7383337775846892,0.4784635924816837,0.47212196264873724,8083.017128055691,0.6005948666681552,0.5916828676124636,0.7478660543147075,0.6599325927376015,0.7378773032007453,0.6985467438582732,0.7508600233249969,0.6544357103990887,0.7478660543147075
8,1.505629855764688,0.23027725181591935,0.1816591102321296,0.22136391430818206,1235.763639307107,0.7413444500516028,0.4778007590955884,0.47369776054630586,8130.336409260159,0.5991135737996482,0.5960641780369719,0.7472832033109008,0.6549776793102665,0.7356572294646135,0.7020136337589885,0.754685741818585,0.6508548538753561,0.7472832033109008
9,1.491353363944934,0.225445601747498,0.1798030308629634,0.21853674749195603,1226.4802978792293,0.7425786704331593,0.4758886095775655,0.46679497784118507,8025.382936700664,0.5939497758121886,0.5911935784968432,0.7474543500836457,0.6618334898782451,0.73836312421155,0.6964329460032408,0.7505946821501754,0.6566520715800988,0.7474543500836457
10,1.4836462018405192,0.22243479248026066,0.17830942849457793,0.21246278604412033,1195.2353569694026,0.7423936381624878,0.47454462555297733,0.4640875839967065,7975.804953861098,0.5924158628434825,0.5918201744816962,0.7472163192179275,0.6609274089165532,0.737830171945837,0.6975848739198872,0.7528729719005214,0.656519123785357,0.7472163192179275
11,1.4783778188849341,0.21948897126599176,0.17649911304373714,0.21445284635479905,1205.9298688683825,0.7427156215851142,0.4752867843889626,0.4652622217342308,7996.405763315525,0.5914868369213575,0.5891005380342399,0.7472745257666109,0.6409986700703999,0.7316335888754982,0.7014835455052149,0.7433746774883272,0.6346952866561475,0.7472745257666109
12,1.4693739204364415,0.21653580268811898,0.17581196584512848,0.21421239629655628,1203.0311154282015,0.7453561702244719,0.47328027908706805,0.4664062381427574,8002.973611785656,0.5883915642353558,0.587894182172778,0.7460025139074139,0.647037055725491,0.7328722690785233,0.6954433081973878,0.7456520236591981,0.6418241612223726,0.7460025139074139
13,1.4650563213246814,0.21433288330686162,0.17553941809610854,0.2141609210421473,1213.6635907398413,0.7458060340084689,0.47392213864792027,0.46641219640716064,8008.198672494738,0.58606662246338,0.5916500823366926,0.7473880900328705,0.6563373308484911,0.7364720380610055,0.6992681062656972,0.7524322102812765,0.6516309150420935,0.7473880900328705
14,1.458802434996035,0.212184776590597,0.1743387466230424,0.21082263296237555,1185.2057633155252,0.7443444510001821,0.4729617834311618,0.4617491875417375,7930.153278290431,0.5843697952316005,0.585370960948883,0.7477938207818827,0.6460763205414689,0.7338265391473254,0.6980865841290723,0.7420962502592663,0.6384803738857706,0.7477938207818827
15,1.4553534727124773,0.21017363902247516,0.17319452075408936,0.2106968572615651,1194.7454103933949,0.7453642924356484,0.4717022666608441,0.4593467916198701,7895.574421240084,0.5854381750938455,0.5939187285621054,0.7462111758597256,0.6573883969424036,0.736178269413137,0.6971709367815199,0.7529842065943878,0.6532901318279003,0.7462111758597256
16,1.447865665928852,0.20865540887565304,0.1727377064140326,0.20952725885214302,1184.8755059090174,0.747897473743322,0.47070310222943856,0.4677468179903776,8026.482240569856,0.5810436656004225,0.5898607058569086,0.7469537414253253,0.6515755474108332,0.735069281210304,0.6954760706323534,0.7485472927547971,0.6466947650986917,0.7469537414253253
17,1.4440675817826796,0.2071024912392952,0.1717468378569424,0.20759223096865134,1168.6024931196373,0.7477815099107576,0.4700020315379081,0.4644719068722681,7991.373935567428,0.5806366723008762,0.5868267931945119,0.7478951662663158,0.6371222182519248,0.7309871635069316,0.7021905828253873,0.741358823430435,0.6305143331279558,0.7478951662663158
18,1.4419522801270852,0.20613160502363945,0.1707971403375268,0.20776722904777806,1179.0919864011657,0.7498967234170106,0.47016579410909903,0.4643844300650346,7985.490950299498,0.580378254996778,0.5898550143804638,0.7468340619287281,0.6547207597688985,0.7359502521402311,0.6951894881506694,0.7461726318483859,0.6483606986327813,0.7468340619287281
19,1.4402635721765327,0.20528852778690806,0.17122106988688368,0.21058917867726293,1195.1923587502024,0.7487511359238405,0.470465274141914,0.4619563039267393,7948.36069289299,0.5788770827448227,0.5927890297740105,0.7467558187890323,0.648761104111854,0.7338834657715254,0.6979509773138678,0.7483384747739475,0.6436703362604526,0.7467558187890323
20,1.4384579609131671,0.2043727683619811,0.17110359855547283,0.20876052508138812,1184.0027197668771,0.7481753482235005,0.4708832056432433,0.4639567689677938,7986.043710539097,0.5777483252951732,0.5960480521870447,0.747805948456029,0.649357787514132,0.7346971944709771,0.7006701631698636,0.7486565316830487,0.6435930186253369,0.747805948456029
21,1.433720518322386,0.20336960002603616,0.1701550083290014,0.2078331701381511,1176.3606928929903,0.7496991817554031,0.46854225147140804,0.4650628718431277,7990.762117532783,0.5774056844016504,0.5885448483600959,0.7470540157033718,0.6480678045136693,0.7341415668873646,0.6953388843038709,0.7433185900518715,0.6412787230318685,0.7470540157033718
22,1.4352644708382307,0.20230173636999357,0.1703171803114506,0.2085289827766437,1184.3781771086287,0.7505663019062652,0.47095660680144497,0.46330396847680916,7963.594495709892,0.577572303432861,0.5924387075415857,0.7478668788160565,0.6390705141037797,0.7315827843208684,0.7026612171372486,0.7480436986249709,0.6349554158177363,0.7478668788160565
23,1.4309576775371675,0.20122398416230663,0.17036698764112926,0.20748099521157115,1176.302541686903,0.7493319629522827,0.4698826597022587,0.46268884437416524,7963.272786142141,0.5754004562571204,0.5975586056072426,0.7471698470457406,0.6444413915530669,0.732457690107678,0.7046113117305319,0.7521919345246272,0.640389112877893,0.7471698470457406
24,1.4275886392628654,0.2005528464428419,0.1689640374347215,0.20978319743352355,1190.149651934596,0.749881546146491,0.46959508023053936,0.46516229482227417,8006.487032540068,0.5744710602086677,0.5959259225883318,0.7462152106665533,0.6558295288425843,0.7357199587786992,0.6966106203190847,0.7518169085532098,0.6515725343075736,0.7462152106665533
25,1.4225301354594484,0.19946445105872915,0.16849680363404504,0.20686557467786243,1174.443516270034,0.7508312519920167,0.4677852844521844,0.46230624079877974,7943.610166747612,0.5728842224374678,0.5953121324254796,0.7470008865244195,0.6482804880821869,0.7339016226988353,0.6992713407051848,0.7485112292112919,0.6429452002810326,0.7470008865244195
26,1.4216547108437183,0.19917851286394708,0.16903788244252552,0.20695076896589668,1169.1526631050672,0.7511149365210661,0.4678705674789008,0.46375178688645885,7984.906070908208,0.5716884782725185,0.5928824055594342,0.746777249427427,0.6472167190978747,0.7335580779931382,0.6973166250317188,0.7482531902502425,0.6424148141354536,0.746777249427427
27,1.4226252268228305,0.19874767460942974,0.16910772959663142,0.2106199630433463,1195.811299983811,0.7507226989360734,0.46838423221774356,0.4648495600488708,7998.664464950623,0.5726039486788433,0.5967297843499575,0.7489943716057104,0.6504878362110375,0.7356810470766103,0.7049771832770425,0.7525507961751224,0.6451361168825483,0.7489943716057104
