epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation,Outcome Prediction (MCO) training loss (CE),Multi-Class Outcome - CE validation,Multi-Class Outcome - Accuracy,Multi-Class Outcome - Macro-F1 score,Multi-Class Outcome - Weighted-F1 score,Multi-Class Outcome - Macro-Precision,Multi-Class Outcome - Weighted-Precision,Multi-Class Outcome - Macro-Recall,Multi-Class Outcome - Weighted-Recall
0,2.937592331915212,1.0637756488423729,0.355470607409904,0.3042088527596072,1676.1266634288488,0.6581189385775862,0.5857373490356482,0.5049117441719281,8628.322098105877,0.7743993197848811,0.6396582790113526,0.7322558435864579,0.5433764738906437,0.6895919727544716,0.8162299791353526,0.7676761786196526,0.5718958699739912,0.7322558435864579
1,1.9633472321125178,0.3978931616837456,0.2760358960450401,0.2994608867510017,1666.206248988182,0.7081282820847499,0.5131122456455725,0.48328792799902864,8241.590934110409,0.6460824734669113,0.6149722113662579,0.7366651152529212,0.5751503223017433,0.7026165494303037,0.7475439230118491,0.7490826687804675,0.5903538911146953,0.7366651152529212
2,1.8097552230372231,0.320068910927374,0.25063405482418083,0.29454392539233243,1664.1994495709891,0.7201940935754614,0.496905942640361,0.4749376427612008,8141.197863040311,0.6328314356065008,0.6098986158329286,0.7379385079852891,0.5886800733829144,0.7078956959822793,0.7280595829195238,0.7440891815183166,0.5981922457243795,0.7379385079852891
3,1.722808123957476,0.28885315904206427,0.22180403149604092,0.23469476018964,1324.107625060709,0.733139593894184,0.491868272710305,0.4718968232549933,8084.7064918245105,0.6281830163881976,0.6107417843537518,0.740317464417306,0.6321219607314951,0.7234474929585067,0.7004179910112756,0.7438671058482063,0.6290811835859768,0.740317464417306
4,1.6630332685962936,0.2719831381698508,0.20249024551560188,0.23140745825302028,1264.5611785656467,0.732551237516695,0.48673304470156775,0.4772528286637931,8167.511219038368,0.6238414379575196,0.6056324985202162,0.7403556079686577,0.6394384008052508,0.7258586025892669,0.696858950422185,0.7444795189235056,0.6355195668023009,0.7403556079686577
5,1.6311971160787098,0.26077035842077617,0.19598430046844764,0.23319385560060255,1319.8720414440666,0.73526945109504,0.4856664664911095,0.46915015229442386,8048.8231827748095,0.6177676381796775,0.6004392634091185,0.7426346084241611,0.6295914449579421,0.7242587865029282,0.7054422336670308,0.7445070949159168,0.6266559192625027,0.7426346084241611
6,1.6013207085562882,0.2524608379924262,0.19219154047851378,0.23343430565884532,1310.410101991258,0.7352715261124939,0.4821445795558613,0.4686845183777774,8036.4200097134535,0.6079754771433286,0.5891604171093371,0.7474291926343455,0.6469244883143125,0.7336110321514464,0.6990979221112549,0.7453903570069461,0.6407955236747452,0.7474291926343455
7,1.5814848146318683,0.24561375661714543,0.18989737184178193,0.22533079928249453,1248.5936862554638,0.7374542666153169,0.47972204112971323,0.4718413906458688,8076.569467378987,0.6029446455457154,0.5894224028844403,0.7476284627926014,0.6482466578421292,0.7342042732342338,0.6986341007602376,0.7464199720100236,0.6424039286110658,0.7476284627926014
8,1.5678485817986834,0.23884594320325103,0.18788244806715018,0.22642588974376973,1272.031601100858,0.7397485837709447,0.47909590493909704,0.47386776376199,8145.701796988829,0.6011678856858135,0.5962235986636414,0.7472095256364867,0.6470015939702853,0.7330529408526909,0.7043554950623161,0.7526621201297748,0.6429147391579203,0.7472095256364867
9,1.550698965699715,0.2334079534785282,0.1861915895660248,0.22474233915413278,1252.3454103933948,0.7412313319572608,0.4765481612915118,0.46835337523524767,8053.756062813664,0.5961006837042832,0.5903045224471831,0.7472667659056802,0.6526708259043431,0.7353908204257974,0.6968520057461077,0.7457297478336199,0.6461424457054724,0.7472667659056802
10,1.5423248430504601,0.23008964484083583,0.18489726428934455,0.2230131826451706,1234.9699854298203,0.740329114368322,0.47556520665626556,0.46634366154497026,8025.048793912903,0.5944994194708633,0.5932128076243018,0.7467512113142735,0.6575185849161093,0.7362887505510802,0.6981337450108865,0.7528320744868594,0.6533975996835961,0.7467512113142735
11,1.5353781818109151,0.22702741318729502,0.18324197276038,0.21885994628194816,1236.1835195078518,0.7419986141254856,0.4762586456387353,0.46530126170546987,7998.785170794885,0.5935059363716806,0.5869007823882952,0.7478853289101814,0.6373790246278894,0.7310877958801707,0.7008010846099509,0.740580577159638,0.6306451307721904,0.7478853289101814
12,1.5251955977205693,0.22369062907156154,0.18278620088990977,0.21835340487835417,1234.1697264044035,0.7432505610847195,0.474149351223157,0.464976788261899,7975.342334466569,0.590873027077088,0.585890011743413,0.7459872322142282,0.6402213006526555,0.7308992247443492,0.6950689287338094,0.7428104312076763,0.635165544159833,0.7459872322142282
13,1.519356021249788,0.22133587934517648,0.18236048616601166,0.22157389125295957,1257.752306945119,0.7453316850185163,0.4746412130502554,0.46566865836722926,8000.581253035454,0.5882341052741694,0.5893826218355391,0.7479168374202297,0.6561074782044143,0.7367859233989366,0.6998006191204471,0.7525525396222547,0.6512869255196274,0.7479168374202297
14,1.5124269212491415,0.21902745751630978,0.18145827595254727,0.21880312044681885,1216.0209810587664,0.7438612683644973,0.4738465721922866,0.4614808284987403,7934.0681884409905,0.586846210084547,0.5861059914172535,0.7490821492249524,0.6495461215202439,0.7357023702032796,0.7005696103033653,0.7457809481576677,0.6423882273690572,0.7490821492249524
15,1.5080225310734743,0.21687351045964737,0.18037820202932203,0.21990495471481908,1238.9185688845719,0.7435200169226567,0.4724695481712649,0.4579082116622147,7874.704225352112,0.587792736296294,0.5929001914233244,0.7461699784659886,0.6494600552895917,0.7337001708159353,0.6977454928121176,0.7501949878448687,0.6450563937375382,0.7461699784659886
16,1.4997471071030262,0.21522022933649593,0.17999883865684094,0.21673080051564778,1224.1734175165939,0.7465950149306398,0.4715736208141908,0.46617036794446637,8012.881852031731,0.5833513891467681,0.5890607569853388,0.7480158509616438,0.6533764897570007,0.7360831691184225,0.6998186239358296,0.7508973207687392,0.648147806127139,0.7480158509616438
17,1.4951548410590583,0.21339966299442145,0.1791053623864813,0.21292844960387325,1185.3047110247692,0.7462583878134106,0.47083410349558796,0.4621627681633985,7946.028946090335,0.5833542555041568,0.5862316189025316,0.7477354275471285,0.6368456170104411,0.7308186111409133,0.7012881873635998,0.7407746369467085,0.6302295955531262,0.7477354275471285
18,1.4925848786118467,0.2123827936359235,0.1782167009546383,0.21423499916525013,1212.3480006475634,0.7489144694405658,0.47081098727573306,0.46400594688145036,7970.8404727213865,0.582877942708117,0.5887698988245204,0.7478684354807695,0.658425538221428,0.7375714411265625,0.6978840312889113,0.7496168063890701,0.6525523350828871,0.7478684354807695
