epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation,Outcome Prediction (MCO) training loss (CE),Multi-Class Outcome - CE validation,Multi-Class Outcome - Accuracy,Multi-Class Outcome - Macro-F1 score,Multi-Class Outcome - Weighted-F1 score,Multi-Class Outcome - Macro-Precision,Multi-Class Outcome - Weighted-Precision,Multi-Class Outcome - Macro-Recall,Multi-Class Outcome - Weighted-Recall
0,3.1885160244780884,1.0114022298941951,0.33034720614596585,0.2851285633385442,1588.6589606605148,0.6556910495841428,0.7914716886609969,0.6506277698518699,11194.114942528737,0.7986404750738624,0.6737487407608366,0.7218877112294991,0.5364928236613603,0.6812723013671153,0.8180790659665864,0.7685125419753626,0.5656462230063147,0.7218877112294991
1,2.189160399006669,0.38833453759727393,0.26706742725649174,0.2608494955454711,1452.6175165938157,0.7144111385039764,0.6730749778361362,0.5576412577024648,9570.438983325239,0.6521101036720728,0.6279366239869172,0.7259245352746746,0.6076229625082608,0.7065998554168635,0.6816679061391899,0.732937558874211,0.608305060353555,0.7259245352746746
2,2.0223768155955706,0.3084516073163797,0.24862446060635635,0.24841150003130313,1384.4146996924073,0.7331624783723895,0.6221089081386842,0.5448150412442326,9346.478355188603,0.6315949621593812,0.6164288736188683,0.7309428358962164,0.5612744866126954,0.6963227072902486,0.7296189713094133,0.7367560296423297,0.577663570170981,0.7309428358962164
3,1.9311191155712986,0.27474432406649435,0.23506557130249295,0.24022105042363556,1355.486482111057,0.7349994616811862,0.5900692329824676,0.5237185166494658,8989.730937348226,0.6195113406731532,0.6186051519244778,0.7295395100245989,0.6198577417319614,0.7130734285443189,0.6819684574498703,0.736631977531296,0.6184559454859584,0.7295395100245989
4,1.8615758151874033,0.25547637394767186,0.22327584948545023,0.23525606723246267,1307.4714586368789,0.7406301104715578,0.5608518942088417,0.512810209180731,8798.27178241865,0.6089658453707865,0.5985770834598105,0.7408839893737125,0.6331997823689002,0.7259934426016419,0.6872723081002364,0.7376159023871535,0.627638742693854,0.7408839893737125
5,1.8092832105928625,0.24445727134685544,0.21311065768437273,0.22757922890928545,1276.42441314554,0.7450113023236401,0.5354041765780139,0.48743049284391693,8368.078225675894,0.6018087261703593,0.5986769214424478,0.7400886715641214,0.6016462260562335,0.7156966272921995,0.6983309594631956,0.7347532690196275,0.6033334649605339,0.7400886715641214
6,1.7638142612382506,0.23693359503246977,0.20101222690172801,0.21794258106559616,1211.2138578598024,0.7455180808720859,0.5097894217356069,0.47883538518964,8245.854492472074,0.5980742563157392,0.6030409795789825,0.7405824115623366,0.6026738561408237,0.7159741126413003,0.7045929743944654,0.741212725681254,0.6057818731477776,0.7405824115623366
7,1.725842931214169,0.23080237336544948,0.18866293535694567,0.21665036394620416,1210.9285413631212,0.7476239271566901,0.4933763385348066,0.48141039292056215,8252.76529059414,0.5944033969171654,0.6011058183015117,0.7403895630192718,0.6500138504659229,0.7306722445563845,0.6848278993102374,0.7466808161239605,0.6465977120762684,0.7403895630192718
8,1.702838556300959,0.22520067336688027,0.18237541197143362,0.2081504847715062,1172.524915007285,0.7460660040523313,0.4909406296644338,0.4762676993060193,8186.682726242512,0.5908969458655493,0.5969552498178727,0.7405116433911753,0.6508107380756828,0.7315376986490085,0.6801178395599353,0.7357361027162366,0.6434904341477006,0.7405116433911753
9,1.6944352532103217,0.2211056725292869,0.18042466679268335,0.20689675922588333,1170.8365873401328,0.7479440727067144,0.4909688759617199,0.47627146398054276,8191.924882629109,0.5914339327953271,0.5976099474676724,0.7423975852902348,0.6262119298909261,0.724478372485262,0.6982517308728515,0.7425815030262184,0.6224380284552629,0.7423975852902348
10,1.6778567683767285,0.21668888761843802,0.1777968025055422,0.2060934903263872,1154.6292374939292,0.7527135299675206,0.4892172419504654,0.4826707585220374,8291.987955318116,0.587636026162544,0.5983857075643516,0.7400136103741295,0.6400901853572063,0.7275286602005797,0.6847464398593875,0.7375197863074574,0.6337180248125897,0.7400136103741295
11,1.6705504393965536,0.21436908570002522,0.1763311300547959,0.20649073759637568,1163.0824024607416,0.7512255645944633,0.48876390052882174,0.4782128503103752,8207.746673142301,0.5855750740897021,0.5978633960281083,0.742797065479735,0.6274914570744085,0.7254166820049043,0.6947098532844436,0.7416724152464012,0.6235327830901568,0.742797065479735
12,1.6629797270488458,0.21141680151488654,0.17510956469592612,0.20357373734595072,1148.3113485510767,0.7540544655324186,0.4881950915521066,0.477456210017378,8199.597733527602,0.5832460062390954,0.5966464279345253,0.7415067325895824,0.6353947052872756,0.7269996850282853,0.6905544846257694,0.7374229342003706,0.6284237947408277,0.7415067325895824
13,1.6584163592059231,0.20947091811551496,0.17389153431241328,0.20393925167044832,1147.7900598996277,0.7533458767150316,0.4881600739114736,0.4786874957313927,8210.137477740003,0.5837430223249472,0.5982836167056217,0.743041280403989,0.6332231174195038,0.7272945040305261,0.6947075396177524,0.7420945976089595,0.6278750047880629,0.743041280403989
14,1.6494517660528951,0.2077881597731946,0.1725085092565188,0.20463854737395276,1142.800582807188,0.7542180954802088,0.4863814180992411,0.4731364090388235,8137.395369920674,0.5803716468167376,0.5969153501965456,0.742909043889538,0.6401366502978044,0.7292095882547136,0.6937102385329643,0.7431079055708082,0.6339105257880769,0.742909043889538
15,1.641462430005243,0.2058921425145935,0.17163147252692273,0.20333481390769184,1152.0892342561115,0.7544599832291161,0.4844359805553975,0.4767357936005039,8183.538675732557,0.5779991227273757,0.5938185941484033,0.7422364616750349,0.6286052385222759,0.7254095169518618,0.6933594946814562,0.7386401363255072,0.6233370675038866,0.7422364616750349
16,1.64011259006678,0.20449299770875795,0.17054151319320032,0.20384323764854753,1145.1504613890238,0.7552520470343613,0.48496120872758547,0.47406340826478266,8156.348777723814,0.5786182115063865,0.6024198972119355,0.7409990882577535,0.6430184071088879,0.7284788466086997,0.6928333989637937,0.7467999884041407,0.6381269692797982,0.7409990882577535
17,1.6407527734012999,0.20357459455111324,0.1709730406264229,0.2012759223037579,1133.181285413631,0.7557568098515663,0.4857429416089721,0.4767967398274344,8188.165387728671,0.5793349187181899,0.5935794928515056,0.742041821646421,0.6293231507255924,0.7254772467239927,0.6936547859272353,0.7371172430611482,0.6231112292916267,0.742041821646421
18,1.6299224711910507,0.20158032190120784,0.16920338029361512,0.20143374220267726,1129.1345313258864,0.7571137526939655,0.4826886732594149,0.474375283388098,8165.070681560628,0.5750726524013035,0.5953925838164764,0.7424160718646945,0.6301039157973279,0.7259015224317414,0.694631544114576,0.7393558003199404,0.624498353670825,0.7424160718646945
19,1.6308069673515635,0.2011080118414213,0.1694792835592959,0.20320774873174932,1147.7047110247693,0.7560408500978933,0.48531480543535843,0.4680848086905051,8045.103577788571,0.5745867568801141,0.5971854581828254,0.7446104293064132,0.6536442953614938,0.7342331815386309,0.6956499516134649,0.7490348280429744,0.6474448114423871,0.7446104293064132
20,1.6243130719873327,0.20093760425610654,0.16861320871132365,0.20020091504712542,1131.8498947709243,0.7566216771263355,0.48239656462824554,0.47092710831259105,8092.952824995953,0.5726345323202525,0.5967466809206532,0.7430437024957732,0.6410360112583748,0.7295695578235475,0.694087339934217,0.7411970348363182,0.6337301670062219,0.7430437024957732
21,1.6241350083132466,0.19968757426818096,0.16813708200896457,0.2005488510094782,1137.0376558199773,0.756823250250425,0.48293487484065384,0.4708311832200097,8086.298980087421,0.574073954248393,0.5959258040159058,0.7434936279644851,0.6544767865938185,0.7339187795260214,0.6911849779194812,0.7453875602208908,0.648036718936842,0.7434936279644851
22,1.621149652543858,0.19851843403244512,0.16779646922740535,0.20205701815960417,1135.864918245103,0.7578902835114133,0.4836901483627466,0.46828329893152015,8046.236036911122,0.5715558749111094,0.5984103706289461,0.7438692181600584,0.639982121100386,0.7297764107624162,0.6963080754678049,0.7442934113341539,0.6336551791079379,0.7438692181600584
23,1.6166941914156343,0.19812136511566372,0.16742561655063953,0.20064037410074673,1138.599708596406,0.75704011921746,0.48196177206624896,0.4714610695896825,8099.170471102477,0.5698746800554927,0.5998127267104784,0.7428648603355726,0.6301308830911382,0.7264580731124951,0.6921683693444202,0.7413366793737332,0.625678057541654,0.7428648603355726
24,1.617963864517635,0.19769842943628513,0.1670291546688101,0.20091048208702647,1131.652776428687,0.7569183453360248,0.4824866296051169,0.4707717784346163,8084.328314715882,0.5702162547885666,0.5951909514061741,0.7427761038995341,0.630274057432688,0.7263197983583763,0.6932019692331904,0.7410982410323562,0.625571053120505,0.7427761038995341
25,1.6162669976082074,0.19725108706563182,0.16657258137597664,0.2001810097011216,1134.8670228266149,0.7574307560747026,0.4830387498985028,0.47259835701303726,8131.987955318115,0.5692588721330349,0.6001697482849684,0.7442820216835458,0.6447241221242996,0.7315093969910649,0.6954910922947145,0.7440683937501505,0.6375734630045625,0.7442820216835458
26,1.6135622581257623,0.19569932171226254,0.1664454303847174,0.1997635013678515,1133.2055042901084,0.7572256850640481,0.48284924495414167,0.47420919306246967,8148.291015055852,0.5692048961153398,0.5943366963635259,0.7418706363009886,0.6343107797777213,0.727021361654734,0.6900272888327098,0.7365554098653193,0.6272655186353819,0.7418706363009886
