epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation,Outcome Prediction (MCO) training loss (CE),Multi-Class Outcome - CE validation,Multi-Class Outcome - Accuracy,Multi-Class Outcome - Macro-F1 score,Multi-Class Outcome - Weighted-F1 score,Multi-Class Outcome - Macro-Precision,Multi-Class Outcome - Weighted-Precision,Multi-Class Outcome - Macro-Recall,Multi-Class Outcome - Weighted-Recall,ltn_ax2_term,ltn_ax2_contrib,ltn_ax2_residual_mass,ltn_ax2_min_survival
0,2.976113150282019,1.0559706774556779,0.331207146118643,0.27192463441749637,1501.1476121094383,0.6482411440626518,0.5835244680297446,0.5044868398835903,8654.008612595111,0.7693371716115249,0.6442849157851201,0.7322846623582691,0.5429725065171761,0.6894128013175006,0.8122577748186862,0.768072455185145,0.5729596626436047,0.7322846623582691,0.472147382046344,0.236073691023172,0.2806045509125354,2.358848723815754e-05
1,2.0140444621355575,0.4015591472563659,0.2626337876333993,0.2677343145280628,1506.3259187307754,0.7093947541661607,0.5105656196512062,0.4870412788557856,8258.712514165452,0.6464148356893359,0.6140647765905779,0.7384571175797288,0.5911506438997002,0.7090611578928675,0.7278627031265237,0.7444838630795518,0.5996789009254938,0.7384571175797288,0.3857421397545634,0.1928710698772817,0.19157167670686218,7.248226552292181e-08
2,1.8903842630118308,0.3275953586262888,0.24876791244295574,0.2654825945164522,1495.682564351627,0.721247965297171,0.4947618659387326,0.4783376181455652,8183.111283794723,0.6319909918634496,0.6073421943297718,0.7395838204694481,0.6092351717127648,0.7156873852398685,0.7136992684624377,0.740024156038341,0.610122469019425,0.7395838204694481,0.3745362694711375,0.18726813473556875,0.17260100855078747,2.4419281885457167e-07
3,1.835904103676243,0.29865682955015693,0.2363705504465209,0.24289795633309555,1349.282564351627,0.7313772519275133,0.4888999127512853,0.47369796804805125,8091.849894770925,0.6268171590901691,0.6099237531872268,0.7411249435203867,0.6424735152593548,0.7271671793614501,0.699097530051111,0.7451596625316428,0.6377568469557798,0.7411249435203867,0.37031930358804893,0.18515965179402447,0.1660131119334927,7.155805548109129e-08
4,1.7936659062931524,0.2816445616531302,0.2219984848162479,0.23071216436889114,1302.0302412174194,0.7332250846132832,0.48408220014011366,0.47085525342247453,8067.643969564513,0.6222762127776118,0.6055240047504856,0.741199183753427,0.6435410213170899,0.7276965307011839,0.6977985297276147,0.745737299332923,0.6390290876270516,0.741199183753427,0.36732889566372134,0.18366444783186067,0.16103968230908264,5.448725914902752e-07
5,1.7597312899030877,0.26994031906877397,0.20560344363722574,0.22077088914142182,1240.7491015055853,0.7364522703299539,0.4838158321186636,0.4733676845556095,8088.264464950624,0.6175955750224505,0.6120685505137506,0.7411197236668992,0.642437350413673,0.7269419354683592,0.7016084129927899,0.7477895423740112,0.6383039761799548,0.7411197236668992,0.36555223881140264,0.18277611940570132,0.15696258213613512,1.9577389309688442e-07
6,1.7236290313964764,0.2624571697356609,0.189925632841841,0.2173948653870963,1229.033381900599,0.7382238016596345,0.4805569651828715,0.46819146458763355,8046.0386595434675,0.6101485276098787,0.5930721807271431,0.7465481450934324,0.6588436521292608,0.7365302010990761,0.6974663816864473,0.7508763365741551,0.6540056622371132,0.7465481450934324,0.3610814701346956,0.1805407350673478,0.15384607540564776,1.5807223974206863e-08
7,1.699683566594265,0.2552155732513356,0.184392025363604,0.21415899424022583,1184.1989315201556,0.7389980203147766,0.47867047447248323,0.4735971221997936,8087.721547676865,0.6029189683541039,0.5930516084112433,0.747812653034877,0.6609818868291917,0.7381534104902208,0.6980509825885234,0.751556153556173,0.655924713092692,0.747812653034877,0.3569730510990295,0.17848652554951475,0.15063964533647137,3.504973449253157e-07
8,1.6863522028781959,0.2488006969483999,0.18154598444083034,0.21632104385472317,1202.7638011979927,0.7410416160757649,0.47797710640278795,0.47168748363700524,8102.454913388376,0.6007214980585688,0.5972801382649344,0.7464070064108488,0.6591126315599819,0.7364363504802557,0.6985394732431148,0.7549634175697955,0.6557412477947139,0.7464070064108488,0.35461383304123345,0.17730691652061673,0.1478400063982024,1.0240444936471249e-08
9,1.6702322440563575,0.24393421283664082,0.17893662624413798,0.2115137916331502,1185.8582483406183,0.7439586163261899,0.47600175931873406,0.4666689946386292,8033.795046138902,0.5952396374085599,0.5912459875091064,0.746809224842626,0.663589476086273,0.73859378506969,0.6940216613797215,0.7494751241070682,0.6586445619832384,0.746809224842626,0.3522400192078754,0.1761200096039377,0.14563240065134664,9.650035792674316e-08
