epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation,Outcome Prediction (MCO) training loss (CE),Multi-Class Outcome - CE validation,Multi-Class Outcome - Accuracy,Multi-Class Outcome - Macro-F1 score,Multi-Class Outcome - Weighted-F1 score,Multi-Class Outcome - Macro-Precision,Multi-Class Outcome - Weighted-Precision,Multi-Class Outcome - Macro-Recall,Multi-Class Outcome - Weighted-Recall,ltn_ax2_term,ltn_ax2_contrib,ltn_ax2_residual_mass,ltn_ax2_min_survival
0,3.161158287137218,1.1057089565200566,0.33408760968265094,0.2755040988116197,1522.6983972802332,0.6217236067265663,0.5836180081072997,0.5051666156014752,8650.880103610167,0.7913604169070015,0.7230495547368261,0.7135242150484011,0.5237389166574974,0.669178302034635,0.8156997805716348,0.7672105951541616,0.5610064325060167,0.7135242150484011,0.3463833049909603,0.3463833049909603,0.25653436939788643,2.4181408662116155e-05
1,2.1414757924672414,0.4464511780961025,0.26439270144604016,0.2705420799310952,1515.3771733851383,0.6816508222286304,0.5105638400205141,0.4863084716204013,8279.628298526794,0.6993770790699672,0.695450992593492,0.7161163427499813,0.5345554710030577,0.6742107457224966,0.8173507681176074,0.7695541477369542,0.5668007420772335,0.7161163427499813,0.22069099629242744,0.22069099629242744,0.17073043425892584,5.516451437870273e-06
2,2.0109586917613385,0.3669716403020557,0.24983279961409302,0.27204288076926,1529.7049052938319,0.6925603154216246,0.495153062177833,0.47625925102067146,8158.434450380444,0.6877997922959059,0.7061671534459992,0.7163907593945634,0.5359587225169926,0.674799299037944,0.8174547558632009,0.7696735392046569,0.5675251316662504,0.7163907593945634,0.2112013976249469,0.2112013976249469,0.14997252669273572,1.527187237115868e-06
3,1.9559815468696446,0.3370883134607027,0.23868322072649847,0.25053974168285575,1395.5253359235874,0.7175241982606848,0.4890009512871327,0.4692321154838514,8033.433964707787,0.6838470199668901,0.6854670164711328,0.716856218604483,0.5383263879474705,0.6757929306561078,0.8176313682042334,0.7698763131612408,0.5687538246498377,0.716856218604483,0.20736204175906775,0.20736204175906775,0.1446410948135091,3.766288614315272e-07
4,1.9145675009700673,0.31913972567744864,0.22554042204641378,0.23684109895770095,1324.1125465436296,0.7203137331532298,0.4841083188116903,0.47043111985490527,8068.969143597215,0.6809551762141419,0.6919504381488283,0.716856218604483,0.5383263879474705,0.6757929306561078,0.8176313682042334,0.7698763131612408,0.5687538246498377,0.716856218604483,0.20482385982952175,0.20482385982952175,0.1408080707397863,7.029630069155246e-07
5,1.8814368733816598,0.30674458978444163,0.2094686602699686,0.22503300463475898,1248.391387404889,0.7228971298832868,0.48425080466288084,0.47151238180700583,8063.772575683989,0.6779539688275411,0.701120710998209,0.716856218604483,0.5383263879474705,0.6757929306561078,0.8176313682042334,0.7698763131612408,0.5687538246498377,0.716856218604483,0.2030188506965101,0.2030188506965101,0.13782218123438972,2.5722806640260387e-07
6,1.848027915732395,0.29894888103449135,0.19280388040368904,0.22247175130524527,1255.1843289622796,0.7240127185526954,0.4809621576462272,0.4698189304198033,8066.788667638012,0.6739494752513586,0.6885319951091246,0.7168832004183213,0.5384632376954013,0.6758528374218826,0.817648350782949,0.7699013292667317,0.5688250497209955,0.7168832004183213,0.2013635183932513,0.2013635183932513,0.13604349680465355,3.6201289077553156e-08
7,1.8312230714150435,0.29211134908820047,0.18564647296168044,0.2192969153146248,1195.5709243969566,0.7090211324520398,0.4788513699182745,0.4738819628099957,8117.005925206411,0.6730688093505668,0.6757278924083293,0.7168832004183213,0.5384632376954013,0.6758528374218826,0.817648350782949,0.7699013292667317,0.5688250497209955,0.7168832004183213,0.2015450689831429,0.2015450689831429,0.1345052100034684,2.958281015708053e-07
8,1.816258187124715,0.2851379480786048,0.182520599054867,0.21796478375235248,1218.3177594301442,0.7316426170167557,0.4784675789611227,0.47338742686452767,8145.156289460903,0.6684541659065958,0.6853673563471345,0.720366406965436,0.5414464584911239,0.6794156805258444,0.8160631411696455,0.77068670071712,0.5713054426819043,0.720366406965436,0.20167789881575038,0.20167789881575038,0.13277810770114498,4.61320048827929e-08
9,1.7942234038777605,0.2767120650886784,0.18010214739341354,0.21257777165417072,1199.4130484053749,0.7328830031644609,0.4767057230618931,0.4683751036323003,8060.191808321191,0.6573195876718978,0.6611558155506314,0.7243307936489023,0.5439396729953281,0.6831567344541456,0.8183373583480801,0.7723422666075236,0.5735307168036606,0.7243307936489023,0.20338388012182076,0.20338388012182076,0.12993940216428518,1.620646017386207e-08
