epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation,Outcome Prediction (MCO) training loss (CE),Multi-Class Outcome - CE validation,Multi-Class Outcome - Accuracy,Multi-Class Outcome - Macro-F1 score,Multi-Class Outcome - Weighted-F1 score,Multi-Class Outcome - Macro-Precision,Multi-Class Outcome - Weighted-Precision,Multi-Class Outcome - Macro-Recall,Multi-Class Outcome - Weighted-Recall
0,3.0161959461911896,1.0169686664711441,0.33199829234570793,0.28515541999301847,1593.8272948033025,0.6581782247905537,0.626789166399184,0.5095281837170653,8760.55250121418,0.8010237874275834,0.6759946803666829,0.7187628761657281,0.5344191364045864,0.6781401971309767,0.8173267648762236,0.7679718240252819,0.56406510793747,0.7187628761657281
1,2.0585756631645227,0.39876423610826217,0.26892413198947906,0.26487793443039703,1472.9376720090659,0.7061781213953983,0.5400452099343729,0.4823229855967703,8279.833446656954,0.6525554384529237,0.626005672030567,0.7274401129478887,0.5966367227455526,0.7046478956546911,0.6821606876619013,0.7294665251973852,0.5999804662208988,0.7274401129478887
2,1.8998418430957569,0.32007454832762305,0.25077838172926703,0.2578627450654899,1440.9681074955479,0.727830513522948,0.5188671873783218,0.4783301777258378,8194.860158653068,0.631996214389801,0.616608095840669,0.7299951943604659,0.5553486589121509,0.6937169814870268,0.750603138248792,0.7424090084287039,0.5740155959738844,0.7299951943604659
3,1.8171984540111215,0.28282196915669905,0.23939403251210262,0.24323061127405599,1368.0720090658897,0.7348175122935892,0.5101718345116935,0.47909378414885867,8227.146640764126,0.6197395469089584,0.6156537063843188,0.7329749298336856,0.6197101091007368,0.7157914653278267,0.6826848209133343,0.7372511803088453,0.6184389911176754,0.7329749298336856
4,1.753315981146852,0.26101213316681116,0.22754488539325415,0.23651856713760472,1318.1259511089524,0.7411434697896431,0.5051827063706852,0.47479568192425026,8117.843613404565,0.6093779538466028,0.5988144654565323,0.7398671381688281,0.6214657490588582,0.7219292111316851,0.6850177954719164,0.7329681294524797,0.6174223351456948,0.7398671381688281
5,1.703808522524213,0.24814769692895328,0.2165752618777505,0.23142877164658207,1287.664432572446,0.7428480076986704,0.5012738949360227,0.46996077268432795,8073.718115590093,0.603184391408277,0.6004753687128157,0.7384679192460272,0.5929309728774266,0.711827739576594,0.7005534133251078,0.7331361473370173,0.5972478454461106,0.7384679192460272
6,1.6607786773224553,0.24006402158569654,0.20409670877738817,0.21718702274598561,1217.6195564189736,0.7428188981681034,0.49712938601536866,0.47382691556125545,8158.580540715558,0.5994090638261222,0.6036788399442994,0.7389373084912605,0.5691351347566878,0.7043553584000741,0.7296427978995812,0.7440980997980052,0.5858751449739958,0.7389373084912605
7,1.6241059956642299,0.23365137446120646,0.19089687146114173,0.21632479370769336,1202.315946252226,0.7465916356165008,0.49021861924839444,0.476776612158132,8180.798186822082,0.5957998873875339,0.6026208774738951,0.7408330427580071,0.6498566809595779,0.730928018150822,0.6853305187572903,0.746385775335009,0.6461290452191856,0.7408330427580071
8,1.6017123509264557,0.22757881519401216,0.18364494146239121,0.2074554132106757,1172.6609033511413,0.7458364478357212,0.48774730709530195,0.4701755073476961,8092.706750849928,0.5919158193530768,0.5951338587830864,0.7414599407752136,0.6482408144854428,0.7314511417203741,0.6813319879630994,0.7349428133976837,0.6401051346055739,0.7414599407752136
9,1.5942853256266498,0.22317465906136136,0.18131469795204833,0.2060987964424478,1161.042318277481,0.7476189471148009,0.4877235518889667,0.4700083498702343,8072.474275538288,0.5925793876133022,0.5976236425828679,0.742978787060396,0.6239920375673463,0.7242351633279791,0.6999922868051702,0.742756937716624,0.6206561366043396,0.742978787060396
10,1.5786998297512178,0.21835469054443948,0.1787308932959857,0.2067783646585873,1159.360336733042,0.7519305962390723,0.4860526444776171,0.4705576069902714,8089.2782904322485,0.5881602699322813,0.5982383220389145,0.7418227353461407,0.6398833293380245,0.728499108635924,0.689367456981076,0.7405888448056962,0.633770123665072,0.7418227353461407
11,1.5703872104544612,0.21518532489839742,0.1767897268966634,0.20588112711153775,1163.0049538610976,0.7524678479009835,0.4854008462390251,0.47161488766922655,8097.828719443095,0.5861191592846043,0.5960688023615833,0.7427892903711716,0.6234118079801646,0.7241552037350624,0.6957925616471012,0.7400552550328271,0.6198858321274315,0.7427892903711716
