epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation
0,1.9532659259335747,1.0461442465879327,0.3995730830210503,0.5203634236294826,19041.563942778757,0.818390376984127,0.46609562915694375,0.4272183211392196,23277.53368606702
1,1.199880621089457,0.5013384885829071,0.30054833282217336,0.4952503812095826,18277.981109151482,0.8388930224867724,0.3607688809169871,0.3998052113761207,21764.035900450715
2,1.0778082563398774,0.43089871145901637,0.28006092379552816,0.479568472474831,17464.432373113854,0.8488150926844503,0.3308578193374562,0.3855707436572237,21004.850166568685
3,1.0120670695476772,0.3954810434748013,0.2659059625621126,0.4785047527763999,17516.698412698413,0.8506465779550632,0.31595311407291776,0.3860202006632128,21006.60348814423
4,0.9674709076791721,0.3722805397637585,0.2564190141973451,0.46970876506466785,17283.599451303155,0.8496478404247502,0.3048620695791274,0.3714075015615814,20211.75559474819
5,0.9362304989820738,0.35704270614819095,0.2501240258913803,0.4634411255098104,17054.04852047815,0.8534681173298795,0.29554663110395957,0.3762560827041079,20487.162531844013
6,0.9116870546041985,0.34230170146705213,0.24564224937025655,0.44312126253858025,16353.2667058593,0.8509745387593695,0.2905195098031651,0.37425573708939597,20386.70272388791
7,0.8940682824128847,0.33239454276229147,0.24208173664946542,0.4371446971680262,16090.275994513033,0.8542132414067093,0.2865889420423388,0.3716959922472075,20276.992200666275
8,0.8802374391159667,0.3270705281800611,0.23868969890951736,0.4249842406580688,15668.118048206938,0.8581006175135949,0.2817064107258492,0.3713161820597259,20241.149441505
9,0.8653280568720779,0.3188831746391368,0.23602947258743748,0.41896310993533215,15417.056946893983,0.8588169642857143,0.27793329998523836,0.3689454632040895,20109.108524397412
10,0.8524869471134436,0.31129491046584884,0.2339484620617475,0.4098776986078961,15126.384322947286,0.8620813583921223,0.2748779094891862,0.36982396040013227,20143.69837350578
11,0.8421600908508121,0.30691533888395306,0.23097658145670608,0.4156974958434377,15322.048990789732,0.8608145828740447,0.2721534609841329,0.35981871589781744,19597.858514599255
12,0.8341146010590198,0.30287369515828577,0.22910454659065857,0.4133357833512456,15176.282500489908,0.8608583588238536,0.2701139418542572,0.3616687880061361,19716.143758573387
13,0.8269268298597545,0.2987353006920844,0.22747749027133363,0.4043634718547913,14904.886380560456,0.8631377940595606,0.2687738487339319,0.3630457210372575,19788.374838330394
14,0.8191922260302361,0.29502541163124635,0.2256425879778907,0.3962914737654321,14625.491201254164,0.8615556164113022,0.2668043961719286,0.3618389042176477,19730.835038212816
15,0.808560726130644,0.29033922740377976,0.22363951444906127,0.40771886252572015,14992.173701744072,0.8633568173363095,0.26298582465110526,0.3560541995058054,19404.299588477366
16,0.8061495476568754,0.28862224217959703,0.22219554556761414,0.40069633901014107,14782.52510288066,0.8619437153237066,0.26367669755762274,0.3562993807066615,19410.35343915344
17,0.7989339232444763,0.28515172123815574,0.220918148218838,0.3996144989390432,14723.229472859102,0.8632697677836567,0.2614250988655703,0.3553272316835685,19362.2261414854
18,0.7964399908216769,0.28486376353846077,0.2195689589439141,0.4027053680509627,14861.577581814618,0.8660497558880805,0.2607327368939558,0.36283114711934156,19784.03668430335
19,0.7881302065610138,0.2805840102342603,0.21820544330023672,0.4053767415651639,14958.409092690574,0.8650175046388154,0.25818487427264547,0.3542058138480122,19307.579698216738
20,0.7890800687960323,0.2800143666588774,0.21819715348997834,0.3981345130162404,14688.783852635705,0.8652316479736185,0.2597515963741978,0.35819448463220166,19521.755829903977
21,0.7829272154730316,0.2778302576381211,0.2166257596408312,0.3990820111561214,14716.805643738977,0.8648627100097369,0.257397171658782,0.3567607863940329,19449.13219674701
22,0.7790661553230406,0.27644417437266405,0.21533369691020643,0.40083484324478247,14782.832373113855,0.8669584297839507,0.25628220995298373,0.3513131206137934,19157.21293356849
23,0.7792404704146251,0.2760872778754249,0.21550474297196887,0.40446376183816507,14882.71526553008,0.8678634437233612,0.2566180581162716,0.3574781019781562,19481.625083284343
24,0.7739433459353671,0.2734937941346049,0.2140613137087478,0.400060331870499,14730.45596707819,0.8616279543742651,0.2554733944256851,0.3589838511238793,19572.7815010778
25,0.7679118573852467,0.27107679743471563,0.21275500866780087,0.40300325980121987,14861.148657652362,0.8654294291501323,0.25325488805957724,0.3553223158596965,19379.488457769938
26,0.7672670735834535,0.27047422374116964,0.21227022395892578,0.3973161180463698,14657.61912600431,0.8662377771807025,0.25374135283934285,0.35233546845146235,19199.927258475407
27,0.7663565167345597,0.2701861834311186,0.21215995765498438,0.40084399313593105,14741.720870076426,0.8651168258101852,0.25329587445083457,0.351344445535255,19156.771467764058
28,0.7634116513975735,0.26866974508781044,0.21146047180722874,0.39694240778632056,14626.78549872624,0.8630447163433275,0.25250501339805537,0.35406286025453776,19302.74364099549
29,0.7626875578236056,0.2680808713303464,0.21155803746377413,0.3991533085432282,14715.161434450323,0.8644054307438639,0.25233813807321565,0.34966172673014034,19060.00768175583
30,0.7611988589494579,0.2676032141411566,0.21088781168094622,0.3994474326912478,14726.16421712718,0.8651140987838036,0.25218450712466317,0.3494947681281232,19056.0733686067
31,0.7551614455294833,0.26499797550955534,0.20951992927300145,0.39450925437931733,14554.213286302174,0.8664451747134039,0.25011481083112075,0.3555563018996179,19381.279404271994
32,0.7568309977884203,0.2659282422271268,0.2095318767577877,0.40799561982152044,15049.404977464237,0.8624563962834362,0.25079700343754596,0.35101156890707674,19126.305310601605
33,0.7532204428810311,0.2651633803140033,0.20853603091733208,0.40217715021724354,14836.694963746815,0.8608867773093033,0.24904248452392116,0.35287125737158287,19239.062198706644
34,0.7510783850773001,0.262824300104361,0.20900704562196912,0.4038256735468107,14860.759866745053,0.8624279777979865,0.24880239442224414,0.35082821226484423,19124.06537330982
35,0.751052585515109,0.2640188586749253,0.20829667246734088,0.39913723344034757,14696.91836174799,0.8625218449165932,0.24828521851275034,0.35131057299704216,19156.149402312363
36,0.7487185506798257,0.26314350275970927,0.20753692954685246,0.39982523349086935,14753.071056241426,0.8617243332276969,0.24760334903730494,0.3492276630704365,19038.538898687046
37,0.7478727233073554,0.2615544408746648,0.20701972708152752,0.3994803005355306,14739.847148736038,0.8626758501432981,0.24889859706630527,0.3488281178236148,19016.894532627866
38,0.7441668018091435,0.25964227776542353,0.20730712344186808,0.3973259496941138,14659.608230452674,0.8628165072935038,0.24691609697282127,0.3510834045230747,19138.786752890457
39,0.7453817448645924,0.2610059803042292,0.20668569088075603,0.3986719525049603,14705.531961591221,0.8621387694738389,0.2473818197099019,0.3476368019960685,18950.41755829904
