epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation
0,1.9529059921686178,1.0470044642780267,0.3997542852985448,0.5206691794506706,19067.557273562372,0.8180800598245452,0.4650709729956983,0.42806460849944883,23315.22767101476
1,1.1994865830041772,0.5014825583812211,0.3007626412757512,0.4908781562901892,18117.47415763366,0.8383500022965277,0.3602859745485282,0.4005792632165166,21800.813884499967
2,1.076564301984811,0.4308507449481181,0.2798953064743628,0.4759442316966746,17365.46722028293,0.8483826704023516,0.3301106423232996,0.3869764993454896,21079.7157057995
3,1.010961927496901,0.3952938603196398,0.2657895533128592,0.4721841700349072,17358.48503153898,0.8502641006797722,0.3154510272707685,0.3849833286445894,20965.452130565252
4,0.9669203395753818,0.37235441192003627,0.25641956488633977,0.46730706297078817,17171.822166697286,0.8496300437488518,0.30452665418012764,0.3765509814785045,20488.78699736665
5,0.9358488454900938,0.3572070426234631,0.2501172022572879,0.4583611189256844,16883.160649151814,0.8531678445939739,0.29525556735297354,0.3796985520393166,20681.177840651602
6,0.9110367317745305,0.3422604796234343,0.24561663850160975,0.44513965041107845,16427.35177904342,0.8518202134622451,0.2902156033299186,0.3743848176557046,20392.711979913038
7,0.8936198363109816,0.33242826560821653,0.24210398107019712,0.43736016299604996,16110.520698144404,0.8538285986588279,0.2863068973009115,0.3753009527719089,20464.145527588953
8,0.8797919275618645,0.3271617309940646,0.23883222314444455,0.4247493196536836,15674.806785473696,0.8554949447685101,0.2812674959952181,0.3722089294736359,20288.285176067122
9,0.8649356916406685,0.3189668202054538,0.23611211879500027,0.4198348940152489,15435.934908445099,0.8594230117811869,0.2775710052971182,0.3709395596982363,20212.14583134301
10,0.8519568341465953,0.3112167078639646,0.23393505830376127,0.41376811386184087,15269.084803723437,0.8608963060352747,0.2746423778115395,0.37326651633979424,20331.937965582707
11,0.8418092637973893,0.30693089480870944,0.23108261127643825,0.4133585783919713,15252.057644681243,0.8602523453288627,0.27188321653765196,0.3627399512562006,19765.120195970358
12,0.8337014553875759,0.3028129579551915,0.22930711409701823,0.41330263641374243,15181.82186784249,0.8606804324361566,0.2697052937876842,0.3638893633451222,19840.174648784374
13,0.8266314472711198,0.298699436376461,0.22772366305970845,0.40156799013641375,14804.3196178578,0.8629080642568436,0.2684459944363672,0.36362447323397024,19818.268611672487
14,0.8191636034687485,0.2949859332935563,0.22599115140946308,0.3954499328265662,14594.17668197685,0.8611919122037479,0.26665396156916427,0.36589735382601507,19949.80015432666
15,0.8085488243536516,0.29037079077249034,0.22396960044075329,0.4047753780658644,14889.728830914324,0.8625843973911446,0.26279039561841927,0.35801039609360646,19514.749718905015
16,0.8060010071832184,0.2886229695804814,0.22241850834935437,0.40018601873966564,14759.544310123094,0.8609854400146978,0.26347146295361384,0.360469905440474,19642.62398432237
17,0.7989422837768603,0.2850829578445623,0.22121690131934085,0.39985668232133015,14732.050766121623,0.862982701405475,0.2613493518722842,0.35834823684089656,19531.25763488272
18,0.796399501143578,0.2848793146752265,0.21978080770158467,0.4022867674076796,14845.78882723988,0.8648968572019107,0.2605951570651748,0.3652706170769796,19922.98012125666
19,0.7881456397730728,0.2805351717251595,0.2184062625126779,0.4051573910871762,14949.030402351644,0.8635407576244718,0.25818304719876345,0.3565718368202278,19437.78134117215
20,0.7890552047838612,0.2799572545486184,0.21846468137069183,0.39555844375803784,14595.550042256109,0.8651068459489252,0.2596402175981423,0.3621949565382142,19741.928593300265
21,0.7828925233275913,0.2777026882833074,0.21687077406244964,0.39767734934778615,14641.066588278522,0.8638787060214955,0.25738624754277145,0.3599624445962704,19618.44531814563
22,0.7790864217430821,0.27639750655168277,0.2156238054920887,0.398760090368363,14707.464481597159,0.8661038260150652,0.2562090330363067,0.35357074166360464,19281.86669606222
23,0.7792960539880591,0.2760524670578843,0.21573673074241717,0.4022890280520853,14825.432994059647,0.8667574751975013,0.2566027065336144,0.3593575248599118,19583.790233327207
24,0.7740110390612325,0.27338750683775515,0.21430400471702266,0.3984080757394819,14692.106676465186,0.8611999500505236,0.2555241023765462,0.3632056081205218,19807.40213362729
25,0.7678605757163236,0.2709965878939928,0.21302356685403745,0.4015142370361014,14801.159007900054,0.8648334156255741,0.25316220250996674,0.3572403416659012,19476.057331128668
26,0.7671360208136161,0.27039249365139156,0.21251370879269693,0.39510279831894174,14576.904951926022,0.865511896013228,0.25354041086749224,0.3562284341700349,19413.5876244718
27,0.7663113338446542,0.2702372482624547,0.2123159991349546,0.4008395961556127,14744.09620184947,0.8643557378743341,0.25317436342235644,0.35513639938912367,19365.91007410129
28,0.7633878724141554,0.2686360633018248,0.21161440956088068,0.3934102574407496,14502.699599485579,0.8628273269566415,0.2524993071875602,0.35727938263595443,19477.95118868271
29,0.7624911091357564,0.2678950097540329,0.21173579360250394,0.3953056821835385,14578.042520668749,0.8641648390134117,0.25227491032086946,0.35309177211556125,19244.602853818356
30,0.7612101177810502,0.26754675221667396,0.21109340732280737,0.39703651048364874,14649.384510992712,0.8639816191668198,0.2521778675829729,0.35256235072570274,19226.527174964787
31,0.7550302070323203,0.2649764941310434,0.20957640827075816,0.39211379581572664,14464.365915855225,0.8656000252618041,0.2500609037551013,0.35849220041796803,19539.49779655827
32,0.7566164635752436,0.2659189800109983,0.20965658378171323,0.40630292778568805,14985.342298977279,0.8627997686248392,0.25059972915996953,0.3526691392614367,19219.37817625084
33,0.7530450246363972,0.2650940195893793,0.20869947507463651,0.39978319343652396,14737.165435727848,0.8607496153316186,0.24890618925464564,0.3558412180782657,19401.36032825035
34,0.7511865416290618,0.26290389166730327,0.20914365491336415,0.40184877652489437,14796.988758650254,0.8620864814899871,0.24879605937340415,0.3548205191874885,19345.89287770225
35,0.7509227854704782,0.26404313224610115,0.2083588851423099,0.3976179266948374,14638.277224569783,0.8624463186661767,0.24818280843731752,0.35382666096362303,19292.333081021494
36,0.7487947261632423,0.2631545615000037,0.20770452482199595,0.39707580263641373,14651.757476881621,0.8607677722533529,0.24761201957456744,0.3515189377411354,19162.059511298914
37,0.7477488655094816,0.26159553068652047,0.20712299367010034,0.3976181419943046,14671.637964357891,0.861957517109131,0.24874730468917416,0.3516974927659379,19175.663930430524
38,0.7442924499885416,0.2597065307550296,0.20739309263173317,0.3935707273103068,14516.389304917631,0.8631770450578725,0.24698816237498228,0.3533343069653684,19260.854910894726
39,0.7456102646817234,0.2610365076218279,0.20681790582438622,0.3966688507601506,14631.609842611304,0.8625737041842734,0.24755176974221083,0.34966556816094063,19060.947585277725
