epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation
0,1.9125458295442468,1.0455067415596175,0.40072020841616446,0.5203017067166372,19055.76735253772,0.8195841686645723,0.46631887545779954,0.42614430332800557,23222.77938467568
1,1.1624876475633126,0.5009388896552,0.300939119347958,0.49778400400958994,18369.14379776602,0.8395060293118018,0.3606096394476846,0.40019711377268885,21789.15931804821
2,1.041446155328362,0.4308267556200954,0.2802335399211761,0.48198598136206644,17651.00184205369,0.848217873906893,0.33038586018414334,0.3860153207212669,21027.390005878893
3,0.976980348552656,0.39524820942116384,0.2659010411149656,0.4814815891272597,17648.460905349795,0.8507108783665859,0.3158310973392011,0.38480832449202673,20947.289045659418
4,0.9326905312956687,0.3720653756145026,0.2563231856705253,0.47869097997271826,17570.351557907114,0.8500286194242358,0.30430197314035184,0.3731186388521458,20310.008073682147
5,0.9023331988567843,0.35693721309724646,0.2502366249977982,0.46879775884360303,17229.73811483441,0.8533488458076132,0.29515936034133067,0.3760668773079255,20487.987771898883
6,0.8778335928543234,0.3419292713967984,0.2457598577192211,0.45086730921149326,16639.479521849895,0.8519577035337669,0.29014446261721344,0.37387589101998825,20363.909543405836
7,0.8608605416964588,0.33210543241807283,0.24240784017737008,0.44399021514228765,16344.552772878698,0.8546506420855379,0.2863472671624635,0.36995930702527924,20182.416931216932
8,0.8474187418398065,0.3269087476976987,0.23915450793448662,0.4347183972089029,16030.237899274936,0.857376089662331,0.2813554864645378,0.37138636710712447,20243.021908681167
9,0.8327694455844855,0.31871081998449136,0.2364265282512832,0.4314973484691909,15828.06913580247,0.8583176314024838,0.27763209772240777,0.3683832293044533,20078.893200078386
10,0.8201915915109521,0.3110934484948559,0.23440120380873963,0.41694816037670857,15361.329414070155,0.8621285790068343,0.27469694161302993,0.3694546994989161,20120.964138741914
11,0.8098303363614695,0.30670532717319865,0.23148122007103175,0.42506648203262787,15680.200666274739,0.8610961842298648,0.27164378797279254,0.360053778395521,19609.055692729766
12,0.8021665849842622,0.3026184479130847,0.22994788815515543,0.42554966804912553,15626.853537135019,0.8620951370517342,0.26960024816862843,0.3597504684744268,19607.1907505389
13,0.7949082188098034,0.29826975158389457,0.2282561137104483,0.41181614790013227,15147.340152851264,0.8628947298923427,0.2683823536555969,0.3609090958673207,19678.639231824418
14,0.7878416112410985,0.29483225894945914,0.22674345129335935,0.4044137065512934,14925.408269645306,0.8605987889706422,0.26626589955020474,0.36093729906121397,19676.730393885948
15,0.7772881330741237,0.28987610690459187,0.2246136286742635,0.41221734371555335,15143.838526357045,0.8641457173629483,0.2627983988032072,0.35506037779936434,19361.30809327846
16,0.7747300401750403,0.28830487773896757,0.22303989618362677,0.40616610805684156,14989.973897707232,0.8624848865327381,0.26338526606559753,0.35694360480737436,19444.253497942387
17,0.7676501585211499,0.2847808895393225,0.2216114612488911,0.40443150398662553,14896.139839310208,0.8635858875523589,0.2612578073825956,0.35395101629096853,19280.25271408975
18,0.7650456980664901,0.2844163046968768,0.22023471038449893,0.4076588679453263,15044.231550068587,0.8659699544844944,0.2603946835456597,0.3606934454916226,19666.984283754653
19,0.7568567212098818,0.2801861864832875,0.21879026401192417,0.4104649063280791,15141.197256515774,0.8652966660236625,0.25788026954686755,0.35386554554306293,19283.952498530274
20,0.7576295137405396,0.27953679196326336,0.21873449099755213,0.40170074588477367,14817.226572604352,0.8660279396770282,0.25935823108335276,0.35992923223012196,19617.448559670782
21,0.751333678030295,0.2771528997111096,0.2172204794648299,0.4020249749687684,14817.241622574955,0.8646032836842299,0.2569602992514084,0.356988241923409,19457.158847736624
22,0.7480220022059533,0.2758967390161323,0.21608438328796045,0.40529999012529394,14950.68845776994,0.8671275054196061,0.25604087786988405,0.3529398277323082,19238.191808739957
23,0.7480904538429642,0.27562348822534644,0.216123113087539,0.40725124926513817,14989.171232608269,0.8679279594264403,0.25634385203960175,0.3567449265827087,19441.58965314521
24,0.7427380431595267,0.27287812563692887,0.21472622806842798,0.4068602080347957,15007.601175778953,0.8609938489767048,0.2551336886834201,0.35939351507385364,19595.222261414856
25,0.7372792334205305,0.27068221732553643,0.21358934715156644,0.4060061464304086,14961.811640211641,0.8647226987342005,0.2530076688733594,0.3543580608603395,19320.71832255536
26,0.7364721202925081,0.2699156432503069,0.21301771058090802,0.4019796560961383,14828.46764648246,0.8663116939484127,0.2535387658773918,0.35203998079025206,19186.757280031354
27,0.7354241988408529,0.2696371097876734,0.21275340506462467,0.4069275225281085,14962.531530472272,0.8651858626359494,0.25303368373163815,0.35120030783822015,19153.016500097983
28,0.7323678608598381,0.2680876520126591,0.21214584184104,0.3984648061457415,14688.647148736038,0.8629472610321135,0.2521343655814198,0.3537398152741035,19283.50601606898
29,0.7318980406070578,0.26746504342761535,0.21229205689273284,0.40135961641359863,14801.934548304918,0.8648214457947531,0.2521409406370504,0.3495396205357143,19048.332667058592
30,0.7302570774637419,0.26693735808881475,0.21141938570898527,0.4031111926348471,14856.883245149913,0.8645231952252351,0.25190033317546484,0.3486107092335391,19006.320674113267
31,0.7242421003344665,0.26446671272426564,0.21003995431721398,0.3966767021237507,14628.08230452675,0.8649928178736772,0.2497354326623734,0.3553792963583003,19361.555163629237
32,0.7259694574208095,0.265415997597678,0.21007372992446055,0.4132522143454218,15230.444836370762,0.8624078839193856,0.25047972880093655,0.3504419074487434,19093.45749559083
33,0.7226419939329631,0.264617109630362,0.20928450543024696,0.40180178938859495,14814.373349010386,0.8617071816670341,0.24874037933947524,0.3522686563051146,19203.559318048206
34,0.7206113004946036,0.2624196138081132,0.20964561687741534,0.4066505499407518,14961.765236135607,0.862319973200507,0.24854606889818903,0.35108024691358025,19138.998706643153
35,0.720464418487489,0.2636085745402638,0.20893749968385247,0.40317782537156455,14854.654595336078,0.8622936358667695,0.24791834484727404,0.3498795659033289,19080.132000783855
36,0.7179952552045774,0.26255435108858216,0.2081887484484332,0.40302683422664975,14871.534391534393,0.8622896888549015,0.24725215559749394,0.3482186633092666,18977.849892220263
37,0.7172882727881584,0.2609486366420704,0.2076631780935679,0.4027403888108098,14859.627356456987,0.8621828324790565,0.2486764595473074,0.3489509057746362,19022.439192631788
38,0.7138401289531804,0.25912097306647647,0.20796827530505888,0.39932181006806655,14713.877170291986,0.8636379881090167,0.24675088074513737,0.34988681405239563,19073.512522045858
39,0.7152463489191659,0.2605940360447456,0.20733884135757494,0.40319393635637124,14871.86298255928,0.8625000287055409,0.24731347268464796,0.3465646141630842,18886.9054281795
