MAE RRT minutes,DL sim,mean_abs_gap_IB,mean_abs_gap_CB,mean_signed_gap_IB,mean_signed_gap_CB,signed_bias_rrt_IB,signed_bias_rrt_CB,signed_bias_ttne_sum_IB,signed_bias_ttne_sum_CB,error_correlation_IB,config,seed
24454.525578795634,0.8550835029454593,535282.3125,761108.7176771688,-463315.84375,-695031.5728532345,347004.25,678197.2062483452,-116311.7109375,-16834.473921101402,0.8402619361877441,SUTRAN_DA_results_subset_0.15,3
24239.48949489601,0.8557952188685906,537250.5,768122.1823316566,-492867.84375,-723050.4124966905,348889.96875,678936.942546995,-143978.015625,-44113.61680345954,0.8376723527908325,SUTRAN_DA_results_subset_0.15,17
24559.41983349513,0.8549464687582737,539061.1875,766459.3458653252,-468195.625,-698747.2441973347,355891.625,683190.9120112965,-112304.125,-15556.555290795164,0.8345100283622742,SUTRAN_DA_results_subset_0.15_balanced,3
24519.168346424263,0.8547204916269526,506063.59375,730862.8068131674,-416591.1875,-650201.8632071309,330628.1875,662540.9231312328,-85963.015625,12339.00626599594,0.8443824648857117,SUTRAN_DA_results_subset_0.15_ltn_0.01,3
24170.92761450887,0.8556737841706381,523642.0,752630.2850586886,-477235.3125,-706097.297678934,330920.96875,660409.3294501809,-146314.4375,-45688.08401729768,0.8426434397697449,SUTRAN_DA_results_subset_0.15_ltn_0.01,17
24248.8745800606,0.854790473865943,493611.65625,716446.3761362634,-414368.40625,-643283.15311976,329243.625,656790.8527049687,-85124.859375,13507.60638955079,0.8451748490333557,SUTRAN_DA_results_subset_0.15_ltn_0.05,3
24235.583937869564,0.8558112492829406,511185.28125,740452.6739034507,-464607.71875,-693611.7906627835,347957.46875,677300.584943959,-116650.328125,-16311.267849263084,0.8429233431816101,SUTRAN_DA_results_subset_0.15_ltn_0.05,17
24563.366057717765,0.854375320608287,483375.03125,714859.3613979348,-394124.375,-634344.2322831171,371856.90625,704772.0893125056,-22267.54296875,70427.76665784132,0.8460443019866943,SUTRAN_DA_results_subset_0.15_ltn_0.1,3
24033.254093489835,0.8557940122782631,464038.875,686920.4102021004,-412334.75,-635259.4701262024,296199.5,619786.0538346131,-116135.359375,-15473.588562351073,0.854110836982727,SUTRAN_DA_results_subset_0.15_ltn_0.1,17
24467.308634130557,0.8554617690131057,481763.84375,704726.1353808137,-425015.125,-652201.7855440826,376559.59375,702186.6497220016,-48455.625,49984.7738063719,0.8460352420806885,SUTRAN_DA_results_subset_0.15_ltn_0.1_balanced,3
24416.575553790488,0.8544898605043686,456546.21875,680608.3191245256,-346247.09375,-579244.8355837966,299859.21875,630111.7260612479,-46387.98046875,50866.77186479569,0.847158670425415,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_rrt,3
24388.629659047452,0.8553440402711587,525319.6875,746960.1934515929,-468581.40625,-694157.0022063366,363197.21875,688319.9943517783,-105384.34375,-5837.126467213838,0.8381941318511963,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_ttne,3
24079.164345600566,0.8569803491251875,326031.65625,540409.289912629,-262174.5625,-481053.3933456888,318006.65625,636640.7540375959,55831.97265625,155587.25902391667,0.8674878478050232,SUTRAN_DA_results_subset_0.15_ltn_0.5,3
23722.09581972759,0.8558824381122584,323082.96875,522271.17818374373,-265428.6875,-463756.7310916954,224916.59375,525400.2478157268,-40512.16796875,61643.31338805048,0.8758713006973267,SUTRAN_DA_results_subset_0.15_ltn_0.5,17
