MAE RRT minutes,DL sim,mean_abs_gap_IB,mean_abs_gap_CB,mean_signed_gap_IB,mean_signed_gap_CB,signed_bias_rrt_IB,signed_bias_rrt_CB,signed_bias_ttne_sum_IB,signed_bias_ttne_sum_CB,error_correlation_IB,config,seed
24454.525578795634,0.8550835029454593,535282.3125,761108.7176771688,-463315.84375,-695031.5728532345,347004.25,678197.2062483452,-116311.7109375,-16834.473921101402,0.8402619361877441,SUTRAN_DA_results_subset_0.15,3
24239.48949489601,0.8557952188685906,537250.5,768122.1823316566,-492867.84375,-723050.4124966905,348889.96875,678936.942546995,-143978.015625,-44113.61680345954,0.8376723527908325,SUTRAN_DA_results_subset_0.15,17
24559.41983349513,0.8549464687582737,539061.1875,766459.3458653252,-468195.625,-698747.2441973347,355891.625,683190.9120112965,-112304.125,-15556.555290795164,0.8345100283622742,SUTRAN_DA_results_subset_0.15_balanced,3
24519.168346424263,0.8547204916269526,506063.59375,730862.8068131674,-416591.1875,-650201.8632071309,330628.1875,662540.9231312328,-85963.015625,12339.00626599594,0.8443824648857117,SUTRAN_DA_results_subset_0.15_ltn_0.01,3
24170.92761450887,0.8556737841706381,523642.0,752630.2850586886,-477235.3125,-706097.297678934,330920.96875,660409.3294501809,-146314.4375,-45688.08401729768,0.8426434397697449,SUTRAN_DA_results_subset_0.15_ltn_0.01,17
24834.70210925779,0.8539466363019592,543432.9375,775101.667284441,-466176.59375,-704923.8231400582,446851.3125,778355.4044656253,-19325.330078125,73431.43447180302,0.8369400501251221,SUTRAN_DA_results_subset_0.15_ltn_0.02,3
24158.73046803754,0.8556325015444356,508282.6875,738822.1000794282,-457795.21875,-688882.5120465978,335391.84375,664839.1619451063,-122403.4296875,-24043.44612126026,0.8420512080192566,SUTRAN_DA_results_subset_0.15_ltn_0.02,17
24444.873897567148,0.8551639135722796,504445.84375,722724.2163974936,-434171.59375,-658259.977760127,273943.03125,603896.4313829318,-160228.625,-54363.72712028947,0.8469045162200928,SUTRAN_DA_results_subset_0.15_ltn_0.03,3
24248.8745800606,0.854790473865943,493611.65625,716446.3761362634,-414368.40625,-643283.15311976,329243.625,656790.8527049687,-85124.859375,13507.60638955079,0.8451748490333557,SUTRAN_DA_results_subset_0.15_ltn_0.05,3
24235.583937869564,0.8558112492829406,511185.28125,740452.6739034507,-464607.71875,-693611.7906627835,347957.46875,677300.584943959,-116650.328125,-16311.267849263084,0.8429233431816101,SUTRAN_DA_results_subset_0.15_ltn_0.05,17
24563.366057717765,0.854375320608287,483375.03125,714859.3613979348,-394124.375,-634344.2322831171,371856.90625,704772.0893125056,-22267.54296875,70427.76665784132,0.8460443019866943,SUTRAN_DA_results_subset_0.15_ltn_0.1,3
24033.254093489835,0.8557940122782631,464038.875,686920.4102021004,-412334.75,-635259.4701262024,296199.5,619786.0538346131,-116135.359375,-15473.588562351073,0.854110836982727,SUTRAN_DA_results_subset_0.15_ltn_0.1,17
24467.308634130557,0.8554617690131057,481763.84375,704726.1353808137,-425015.125,-652201.7855440826,376559.59375,702186.6497220016,-48455.625,49984.7738063719,0.8460352420806885,SUTRAN_DA_results_subset_0.15_ltn_0.1_balanced,3
24416.575553790488,0.8544898605043686,456546.21875,680608.3191245256,-346247.09375,-579244.8355837966,299859.21875,630111.7260612479,-46387.98046875,50866.77186479569,0.847158670425415,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_rrt,3
23551.79214544171,0.8566997306890389,481577.46875,681864.4384432089,-425247.46875,-629747.1672403142,269829.375,586204.3032389021,-155418.21875,-43543.06733739299,0.8349356055259705,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_rrt,5
