config,MAE RRT minutes_mean,MAE RRT minutes_std,MAE RRT minutes_count,DL sim_mean,DL sim_std,DL sim_count,mean_abs_gap_IB_mean,mean_abs_gap_IB_std,mean_abs_gap_IB_count,mean_abs_gap_CB_mean,mean_abs_gap_CB_std,mean_abs_gap_CB_count,mean_signed_gap_IB_mean,mean_signed_gap_IB_std,mean_signed_gap_IB_count,mean_signed_gap_CB_mean,mean_signed_gap_CB_std,mean_signed_gap_CB_count,signed_bias_rrt_IB_mean,signed_bias_rrt_IB_std,signed_bias_rrt_IB_count,signed_bias_rrt_CB_mean,signed_bias_rrt_CB_std,signed_bias_rrt_CB_count,signed_bias_ttne_sum_IB_mean,signed_bias_ttne_sum_IB_std,signed_bias_ttne_sum_IB_count,signed_bias_ttne_sum_CB_mean,signed_bias_ttne_sum_CB_std,signed_bias_ttne_sum_CB_count,error_correlation_IB_mean,error_correlation_IB_std,error_correlation_IB_count
SUTRAN_DA_results_subset_0.15,24347.00753684582,152.05347312522474,2,0.855439360907025,0.0005032591555245825,2,536266.40625,1391.718727896598,2,764615.4500044127,4959.2684168004835,2,-478091.84375,20896.419597624852,2,-709040.9926749625,19812.311512866236,2,347947.109375,1333.40451553562,2,678567.0743976701,523.072553065114,2,-130144.86328125,19563.03165490442,2,-30474.04536228047,19289.266917072182,2,0.8389671444892883,0.001831111980404302,2
SUTRAN_DA_results_subset_0.15_balanced,24559.41983349513,,1,0.8549464687582737,,1,539061.1875,,1,766459.3458653252,,1,-468195.625,,1,-698747.2441973347,,1,355891.625,,1,683190.9120112965,,1,-112304.125,,1,-15556.555290795164,,1,0.8345100283622742,,1
SUTRAN_DA_results_subset_0.15_ltn_0.01,24345.047980466567,246.24338302274134,2,0.8551971378987954,0.000674079622094576,2,514852.796875,12429.81026182699,2,741746.545935928,15391.93147673869,2,-446913.25,42881.87202662464,2,-678149.5804430324,39524.04075238022,2,330774.578125,207.02760727927387,2,661475.1262907069,1507.2643466062073,2,-116138.7265625,42674.89966206264,2,-16674.53887565087,41031.34903184094,2,0.8435129523277283,0.0012296764521538442,2
SUTRAN_DA_results_subset_0.15_ltn_0.02,24496.716288647665,477.98413139663785,2,0.8547895689231975,0.0011920867451217915,2,525857.8125,24854.980135402442,2,756961.8836819346,25653.527989177615,2,-461985.90625,5926.527098167399,2,-696903.167593328,11342.919853308813,2,391121.578125,78813.74618057508,2,721597.2832053658,80268.1048610757,2,-70864.3798828125,72887.22322561148,2,24693.99417527138,68925.14906270405,2,0.8394956290721893,0.0036141344066576743,2
SUTRAN_DA_results_subset_0.15_ltn_0.03,24444.873897567148,,1,0.8551639135722796,,1,504445.84375,,1,722724.2163974936,,1,-434171.59375,,1,-658259.977760127,,1,273943.03125,,1,603896.4313829318,,1,-160228.625,,1,-54363.72712028947,,1,0.8469045162200928,,1
SUTRAN_DA_results_subset_0.15_ltn_0.05,24242.229258965082,9.397903219606635,2,0.8553008615744417,0.0007217972194275124,2,502398.46875,12426.429407529442,2,728449.5250198571,16975.015942361693,2,-439488.0625,35524.55855090008,2,-668447.4718912718,35587.72089455182,2,338600.546875,13232.68581769049,2,667045.7188244639,14502.570746510484,2,-100887.59375,22291.87273320959,2,-1401.8307298561467,21085.12818161414,2,0.8440490961074829,0.001592055055650511,2
SUTRAN_DA_results_subset_0.15_ltn_0.1,24298.3100756038,374.8457646936898,2,0.8550846664432751,0.0010031665002529693,2,473706.953125,13672.727206457643,2,700889.8858000176,19755.821849814532,2,-403229.5625,12876.679650449976,2,-634801.8512046598,647.1708852441743,2,334028.203125,53497.86500636048,2,662279.0715735593,60094.201992578295,2,-69201.451171875,66374.56951603324,2,27477.089047745125,60741.43078931248,2,0.8500775694847107,0.005703901596373333,2
SUTRAN_DA_results_subset_0.15_ltn_0.1_balanced,24467.308634130557,,1,0.8554617690131057,,1,481763.84375,,1,704726.1353808137,,1,-425015.125,,1,-652201.7855440826,,1,376559.59375,,1,702186.6497220016,,1,-48455.625,,1,49984.7738063719,,1,0.8460352420806885,,1
SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_rrt,23983.777177654225,432.39227789715113,3,0.8556989214691261,0.0011195571223464927,3,468058.6041666667,12635.67719298516,3,682837.0923425411,2842.764609752118,3,-388356.0520833333,39757.79003312067,3,-608408.095313741,26144.49869041369,3,293710.6458333333,21477.530362338424,3,616417.605036331,26203.58648680099,3,-94645.52994791667,55582.09917878731,3,8009.372753213897,47801.74931700696,3,0.8434372544288635,0.007381652854419631,3
SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_ttne,23923.623365594878,422.25834665380904,3,0.8557764305334922,0.0006966008520328124,3,512975.6145833333,20544.533966263403,3,726737.4360603653,21493.889675757633,3,-448068.8020833333,29188.838622430703,3,-665719.3055040743,30641.987612347963,3,286184.0520833333,68242.8426458505,3,607129.6692848528,71623.14099415597,3,-161884.86979166666,61715.64766131005,3,-58589.76048009884,55702.56662270098,3,0.8393425345420837,0.00799083183601064,3
SUTRAN_DA_results_subset_0.15_ltn_0.3_detach_ttne,23987.422916482807,222.70708845677035,2,0.8555555383185509,0.0002048870526608951,2,476231.234375,15823.392481436527,2,693844.7233253905,16864.209295606437,2,-418382.0,12783.164778638054,2,-639150.8463507192,15476.282557313552,2,301622.984375,28534.034620829138,2,621052.2269879093,33923.41656270853,2,-116759.15625,15750.84774510417,2,-18098.773276851116,18447.10804507194,2,0.8509102165699005,0.00933649632267878,2
