config,MAE RRT minutes_mean,MAE RRT minutes_std,MAE RRT minutes_count,DL sim_mean,DL sim_std,DL sim_count,mean_abs_gap_IB_mean,mean_abs_gap_IB_std,mean_abs_gap_IB_count,mean_abs_gap_CB_mean,mean_abs_gap_CB_std,mean_abs_gap_CB_count,mean_signed_gap_IB_mean,mean_signed_gap_IB_std,mean_signed_gap_IB_count,mean_signed_gap_CB_mean,mean_signed_gap_CB_std,mean_signed_gap_CB_count,signed_bias_rrt_IB_mean,signed_bias_rrt_IB_std,signed_bias_rrt_IB_count,signed_bias_rrt_CB_mean,signed_bias_rrt_CB_std,signed_bias_rrt_CB_count,signed_bias_ttne_sum_IB_mean,signed_bias_ttne_sum_IB_std,signed_bias_ttne_sum_IB_count,signed_bias_ttne_sum_CB_mean,signed_bias_ttne_sum_CB_std,signed_bias_ttne_sum_CB_count,mae_ttne_sum_IB_mean,mae_ttne_sum_IB_std,mae_ttne_sum_IB_count,mae_ttne_sum_CB_mean,mae_ttne_sum_CB_std,mae_ttne_sum_CB_count,mae_rrt_IB_mean,mae_rrt_IB_std,mae_rrt_IB_count,mae_rrt_CB_mean,mae_rrt_CB_std,mae_rrt_CB_count,error_correlation_IB_mean,error_correlation_IB_std,error_correlation_IB_count,mean_abs_gap_CB_raw_mean,mean_abs_gap_CB_raw_std,mean_abs_gap_CB_raw_count,mean_signed_gap_CB_raw_mean,mean_signed_gap_CB_raw_std,mean_signed_gap_CB_raw_count,signed_bias_rrt_CB_raw_mean,signed_bias_rrt_CB_raw_std,signed_bias_rrt_CB_raw_count,signed_bias_ttne_sum_CB_raw_mean,signed_bias_ttne_sum_CB_raw_std,signed_bias_ttne_sum_CB_raw_count,mae_ttne_sum_CB_raw_mean,mae_ttne_sum_CB_raw_std,mae_ttne_sum_CB_raw_count,mae_rrt_CB_raw_mean,mae_rrt_CB_raw_std,mae_rrt_CB_raw_count,error_correlation_IB_raw_mean,error_correlation_IB_raw_std,error_correlation_IB_raw_count,frac_neg_ttne_step_preds_mean,frac_neg_ttne_step_preds_std,frac_neg_ttne_step_preds_count,frac_neg_rrt_preds_mean,frac_neg_rrt_preds_std,frac_neg_rrt_preds_count
SUTRAN_DA_results_subset_0.15,24347.00753684582,152.05347312522474,2,0.855439360907025,0.0005032591555245825,2,529582.6875,1239.027857334128,2,757936.6085958874,4628.286279044644,2,-476941.4375,21042.127788723104,2,-708742.9924984556,20060.89159122709,2,352465.6875,721.6024702008717,2,683391.4012885005,186.27530293626438,2,-124475.83203125,20320.541891337416,2,-25351.68864177919,19874.61429134292,2,1145360.1875,10585.653679405561,2,1106421.5169005385,10830.23142948104,2,1251045.375,9931.491518460356,2,1460820.5425822963,9123.208387513438,2,0.8396976888179779,0.001422245403000119,2,764615.4500044127,4959.2684168004835,2,-709040.9926749625,19812.311512866236,2,678567.0743976701,523.072553065114,2,-30474.04536228047,19289.266917072182,2,1108131.030270938,10986.089221543467,2,1465644.7113229195,9460.037588809277,2,0.8389671444892883,0.001831111980404302,2,0.19639116965224218,0.05722229677988877,2,0.15400227159261703,0.003745158421965916,2
SUTRAN_DA_results_subset_0.15_balanced,24559.41983349513,,1,0.8549464687582737,,1,534132.25,,1,761494.6945547613,,1,-469037.46875,,1,-700076.7452122496,,1,359894.5625,,1,687280.9926749625,,1,-109143.0078125,,1,-12795.905039272791,,1,1155929.0,,1,1114224.2414614775,,1,1265342.0,,1,1473565.4611243492,,1,0.8351173996925354,,1,766459.3458653252,,1,-698747.2441973347,,1,683190.9120112965,,1,-15556.555290795164,,1,1115179.2879710528,,1,1477655.4062306946,,1,0.8345100283622742,,1,0.14257770748116225,,1,0.14299626648426056,,1
SUTRAN_DA_results_subset_0.15_ltn_0.01,24345.047980466567,246.24338302274134,2,0.8551971378987954,0.000674079622094576,2,507501.890625,12806.256234461178,2,734889.1077574794,15005.83357610709,2,-438462.53125,50208.64732823669,2,-670818.0305356985,46521.50605590556,2,334848.953125,117.66698780682393,2,665694.8901244374,1009.656873548031,2,-103613.66796875,50090.919573440864,2,-5123.274556526345,47531.1369691305,2,1147175.375,9579.529118124752,2,1107981.3749889685,9699.479633441139,2,1254803.1875,15738.51757060723,2,1460703.1047568617,14774.539079030726,2,0.843998372554779,0.0007679998735655111,2,741746.545935928,15391.93147673869,2,-678149.5804430324,39524.04075238022,2,661475.1262907069,1507.2643466062073,2,-16674.53887565087,41031.34903184094,2,1111930.2049245434,11657.127628450322,2,1464922.597475951,14277.059410639937,2,0.8435129523277283,0.0012296764521538442,2,0.24839977360354704,0.028905632302090745,2,0.14929454028606415,0.011492307624011008,2
SUTRAN_DA_results_subset_0.15_ltn_0.02,24496.716288647665,477.98413139663785,2,0.8547895689231975,0.0011920867451217915,2,520280.703125,26062.25447884391,2,751389.0318595005,27329.941813270056,2,-460747.421875,5638.049628530201,2,-696398.0132380195,10729.169888625749,2,394493.75,77921.31113145693,2,725257.6471626512,78867.04619319325,2,-66253.78515625,72283.255978655,2,28859.512487865148,68137.8723106716,2,1140491.8125,7489.586637980263,2,1103258.377195305,8915.142388762044,2,1257275.375,21514.430924381893,2,1469803.0225046333,28679.11178613203,2,0.8401824235916138,0.003969811661241109,2,756961.8836819346,25653.527989177615,2,-696903.167593328,11342.919853308813,2,721597.2832053658,80268.1048610757,2,24693.99417527138,68925.14906270405,2,1104472.2478157268,8120.964184682716,2,1473463.2057188246,27278.05311824959,2,0.8394956290721893,0.0036141344066576743,2,0.16210606297232846,0.0007456082030939958,2,0.1402023583650589,0.025050506248056253,2
SUTRAN_DA_results_subset_0.15_ltn_0.03,24444.873897567148,,1,0.8551639135722796,,1,500268.125,,1,718841.1769481952,,1,-432700.3125,,1,-657415.1393522195,,1,277318.9375,,1,607113.0710440385,,1,-155381.484375,,1,-50302.26034771865,,1,1173965.0,,1,1130128.5492895597,,1,1269585.125,,1,1466692.6145971229,,1,0.8474206328392029,,1,722724.2163974936,,1,-658259.977760127,,1,603896.4313829318,,1,-54363.72712028947,,1,1132018.0375959757,,1,1469909.118700909,,1,0.8469045162200928,,1,0.1758482390587047,,1,0.12608912587165833,,1
SUTRAN_DA_results_subset_0.15_ltn_0.05,24242.229258965082,9.397903219606635,2,0.8553008615744417,0.0007217972194275124,2,495142.0,11356.886206810965,2,721094.523696055,15885.704809770683,2,-440193.3125,32076.926856703598,2,-670002.269173065,32345.124772118183,2,343835.984375,12580.556588741196,2,672744.0967257965,14176.413234954201,2,-96357.44921875,19496.37579223413,2,2741.6686964963374,18168.710538690117,2,1143396.9375,8364.808056393913,2,1106275.5216662255,8748.612906960267,2,1247833.8125,2972.942073151191,2,1454533.8007236784,563.8102908427257,2,0.84477898478508,0.0014464376940453722,2,728449.5250198571,16975.015942361693,2,-668447.4718912718,35587.72089455182,2,667045.7188244639,14502.570746510484,2,-1401.8307298561467,21085.12818161414,2,1107726.3464830995,7681.571737687885,2,1460232.088253464,889.9678023989674,2,0.8440490961074829,0.001592055055650511,2,0.16976078844447695,0.07219555058950132,2,0.15810532867908478,0.004930506926198427,2
SUTRAN_DA_results_subset_0.15_ltn_0.1,24298.3100756038,374.8457646936898,2,0.8550846664432751,0.0010031665002529693,2,467142.390625,15867.63084943451,2,694452.8786514871,22055.890500324167,2,-402411.96875,11255.946713796584,2,-634708.2488747684,564.0019978439691,2,338460.5625,52347.291787935406,2,667027.2604359721,58504.663391244656,2,-63951.5341796875,63603.20121289783,2,32318.905657047042,57940.65140866097,2,1142172.0625,3558.2497112783553,2,1105927.003794899,5845.977200177284,2,1252384.375,14032.003742561146,2,1457898.6949077751,22490.745881621246,2,0.8506890833377838,0.0058379707214864865,2,700889.8858000176,19755.821849814532,2,-634801.8512046598,647.1708852441743,2,662279.0715735593,60094.201992578295,2,27477.089047745125,60741.43078931248,2,1107579.4927190891,4517.00036478622,2,1462646.7708057542,20901.17532912082,2,0.8500775694847107,0.005703901596373333,2,0.18961090601778163,0.06537777810217642,2,0.15333573520183563,0.015056835189971361,2
SUTRAN_DA_results_subset_0.15_ltn_0.1_balanced,24467.308634130557,,1,0.8554617690131057,,1,477772.46875,,1,700635.2865589975,,1,-426266.5625,,1,-653896.0261230253,,1,379996.6875,,1,705819.9474009355,,1,-46269.97265625,,1,51923.72923837261,,1,1152940.0,,1,1116991.9604624482,,1,1262755.75,,1,1468038.6987909277,,1,0.8464980125427246,,1,704726.1353808137,,1,-652201.7855440826,,1,702186.6497220016,,1,49984.7738063719,,1,1118002.3143588386,,1,1471671.7253552203,,1,0.8460352420806885,,1,0.08215289292356018,,1,0.14089684188365936,,1
SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_rrt,23983.777177654225,432.39227789715113,3,0.8556989214691261,0.0011195571223464927,3,462410.5416666667,13685.619532295466,3,677309.8480275351,2981.3846622574188,3,-386265.3854166667,34813.716599959254,3,-607215.5373165064,21735.04231606938,3,297537.9479166667,23390.409185759854,3,620378.4393257436,28470.32619661589,3,-88727.55859375,52786.64947074877,3,13162.75750889889,45339.47314329051,3,1151605.1666666667,17817.121403272682,3,1113863.0263877858,14759.597347009802,3,1242393.9166666667,19231.128234231586,3,1439026.7210308004,25943.44630240194,3,0.8441146810849508,0.0076101291761258094,3,682837.0923425411,2842.764609752118,3,-608408.095313741,26144.49869041369,3,616417.605036331,26203.58648680099,3,8009.372753213897,47801.74931700696,3,1116100.8367605095,15250.91375698229,3,1442987.495072515,28079.16723072302,3,0.8434372544288635,0.007381652854419631,3,0.1707336433916197,0.08715336454549037,3,0.13015359888474146,0.04442480171343777,3
SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_ttne,23923.623365594878,422.25834665380904,3,0.8557764305334922,0.0006966008520328124,3,506390.1354166667,20524.66852275757,3,720212.8513517488,22367.299672410943,3,-444205.71875,29299.838658448836,3,-662958.5149883799,31685.368541448937,3,290355.0989583333,67736.92023054286,3,611711.9585797075,70968.56665505619,3,-153850.70572916666,57222.32451889493,3,-51246.72585532316,51694.60172855899,3,1154091.125,13388.731279162526,3,1113703.671226429,11496.541938296394,3,1239958.1666666667,17237.807101295082,3,1435417.5224310886,25335.401278803936,3,0.8401116927464803,0.008104857682072465,3,726737.4360603653,21493.889675757633,3,-665719.3055040743,30641.987612347963,3,607129.6692848528,71623.14099415597,3,-58589.76048009884,55702.56662270098,3,1116657.344747448,12328.891212318775,3,1439999.5707351512,24701.458252947945,3,0.8393425345420837,0.00799083183601064,3,0.20995428135555802,0.05807825478525662,3,0.1527243951956431,0.012634978348454281,3
